,learning_rate,hidden_dim,activation,optimizer,batch_size
0,3.14310317171781e-05,81,relu,SGD,24
1,0.0019426197128611022,210,relu,Adagrad,72
2,3.967667588534964e-06,108,relu,RMSprop,80
3,2.635517486087582e-05,90,leaky_relu,SGD,48
4,0.0003381649368344609,156,relu,SGD,64
5,3.3206382118912365e-06,105,sigmoid,Adam,80
6,0.003902835836817368,222,sigmoid,RMSprop,56
7,0.00010483666027606345,231,sigmoid,SGD,32
8,0.001548711590215481,174,relu,SGD,48
9,0.006216727084141742,165,sigmoid,Adagrad,32
10,0.008558315472860688,51,leaky_relu,RMSprop,56
11,0.007879498730053735,45,leaky_relu,RMSprop,8
12,0.00966632361397885,45,leaky_relu,RMSprop,8
13,0.000527544655407757,45,leaky_relu,RMSprop,8
14,0.0004949773083703175,66,leaky_relu,RMSprop,24
15,0.0005024262963594589,126,leaky_relu,Adam,16
16,0.00032055764616752553,135,leaky_relu,Adam,24
17,0.00012466216725165818,186,leaky_relu,Adam,32
18,2.819707280324879e-05,138,leaky_relu,Adam,24
19,0.00025911982631492836,72,leaky_relu,Adam,40
20,0.0011942874570306328,195,leaky_relu,Adagrad,24
21,0.0006488840142539711,132,leaky_relu,Adam,16
22,0.00022165258589836273,135,leaky_relu,Adam,16
23,0.00016106462238691722,117,leaky_relu,Adam,16
24,5.0092825054584014e-05,150,leaky_relu,Adam,40
25,7.072897242517014e-05,69,leaky_relu,Adam,24
26,1.4476986955010877e-05,93,leaky_relu,Adam,16
27,1.130107372090189e-06,144,leaky_relu,RMSprop,32
28,0.00021227307614875984,120,sigmoid,Adagrad,16
29,0.000956261505102199,63,leaky_relu,Adam,24
30,0.0034920846023243158,99,relu,RMSprop,40
31,0.0007638668960155185,132,leaky_relu,Adam,16
32,0.002434819636314799,162,leaky_relu,Adam,8
33,0.0017930892382649923,174,leaky_relu,Adam,8
34,0.002400579057231777,177,leaky_relu,Adam,8
35,0.0022620275911448737,201,relu,Adam,8
36,0.0010397191660899685,165,leaky_relu,Adam,16
37,0.004072373218541846,159,relu,Adam,8
38,0.0016736802226539216,168,leaky_relu,SGD,16
39,0.0009957824549806425,216,sigmoid,Adam,72
40,1.3656690798951773e-05,180,leaky_relu,Adagrad,8
41,0.0007902404062158922,150,leaky_relu,Adam,16
42,0.0025252964980956613,153,leaky_relu,Adam,16
43,0.0012548168089397173,165,leaky_relu,Adam,8
44,0.00040676932620035554,189,leaky_relu,SGD,16
45,0.0017534298535199322,147,sigmoid,Adam,8
46,0.005196437422152411,159,relu,Adam,32
47,0.0008122772397086885,111,leaky_relu,Adam,56
48,0.00031438129469479767,204,leaky_relu,SGD,24
49,0.003353627349551664,237,leaky_relu,Adam,8
