,learning_rate,hidden_dim,activation,optimizer,batch_size
0,7.041381853688856e-06,72,leaky_relu,SGD,72
1,0.00015138347301837788,150,sigmoid,SGD,64
2,0.0017231168147321704,159,leaky_relu,SGD,8
3,0.00025787426613426323,123,relu,Adam,48
4,0.00447479493421639,63,leaky_relu,Adam,16
5,0.0018590478846439167,90,sigmoid,SGD,32
6,0.0032379542594369597,138,leaky_relu,Adam,16
7,0.001463524206607855,117,leaky_relu,Adam,72
8,0.001006180124230344,138,sigmoid,SGD,48
9,4.425279380223748e-05,156,relu,Adam,40
10,1.171228775506079e-06,210,leaky_relu,RMSprop,24
11,0.009896423558478844,45,leaky_relu,Adagrad,8
12,0.009865750271533443,186,leaky_relu,Adam,24
13,0.000518015746590367,99,leaky_relu,Adam,16
14,5.251119468718e-05,48,leaky_relu,Adagrad,24
15,0.0032403678534199914,75,relu,RMSprop,8
16,0.005277062472027914,111,leaky_relu,Adam,40
17,0.0004383407097420413,108,leaky_relu,Adam,56
18,1.8256341149609175e-05,177,relu,Adam,40
19,0.004284176655421673,141,sigmoid,Adagrad,32
20,0.0006921461295886438,129,leaky_relu,RMSprop,80
21,0.004320922446336213,69,leaky_relu,Adam,16
22,0.0041715020342222835,90,leaky_relu,Adam,16
23,0.008654578204247207,93,leaky_relu,Adam,32
24,0.002224948973486883,99,leaky_relu,Adam,32
25,0.008897595759540803,84,leaky_relu,Adam,16
26,0.00022842646562086532,90,leaky_relu,Adam,24
27,0.0007245777505433752,129,leaky_relu,Adam,32
28,0.002646483926185728,102,relu,RMSprop,16
29,2.8943720169460785e-06,60,sigmoid,Adagrad,8
30,9.495829056568273e-06,81,leaky_relu,Adam,24
31,0.00543251123601002,114,leaky_relu,Adam,40
32,0.006386511259836378,108,leaky_relu,Adam,48
33,0.0013678996442962105,141,leaky_relu,Adam,56
34,0.003024368081461054,165,leaky_relu,SGD,56
35,9.455971089547033e-05,120,leaky_relu,Adam,32
36,0.005281564028555746,93,sigmoid,Adam,40
37,0.001756750309979301,129,leaky_relu,SGD,16
38,0.0011140801287596069,111,leaky_relu,Adam,8
39,0.00034027788327394324,150,relu,Adam,64
40,0.002920557575900829,81,sigmoid,SGD,48
41,0.005939488323768202,93,sigmoid,Adam,40
42,0.006834843562917864,93,sigmoid,Adam,40
43,0.00418325700048294,102,sigmoid,Adam,32
44,0.007340802128306634,60,sigmoid,Adam,48
45,0.0019293817845774878,75,sigmoid,Adam,24
46,0.0036106303726851753,135,leaky_relu,RMSprop,40
47,0.009556448872830619,120,leaky_relu,Adagrad,32
48,0.0007733724628591145,87,leaky_relu,Adam,24
49,0.001106445850883105,69,relu,Adam,16
